ID;Domanda;Opzione A;Opzione B;Opzione C;Opzione D;Corretta;Spiegazione/Fonte
1;Cosa significa il termine greco "kanòn"?;Verità;Regola o limite;Libro sacro;Ispirazione;B;Individua l'elenco ufficiale dei testi ritenuti ispirati [1-3].
2;In quale secolo fu introdotta la divisione in capitoli?;V sec. d.C.;X sec. d.C.;XIII sec. d.C.;XVI sec. d.C.;C;Per facilitare la lettura nelle chiese [1, 4, 5].
3;In che anno iniziò la numerazione dei versetti?;1200;1528;1850;1947;B;Fu introdotta da Sante Pagnini per la comodità dei rimandi [1, 4, 6].
4;Quanti libri comprende la Bibbia ebraica?;27;39;46;73;B;Corrisponde al canone palestinese [1, 7].
5;Quanti libri comprende la Bibbia cattolica?;39;46;66;73;D;Include 46 libri dell'Antico e 27 del Nuovo Testamento [8-10].
6;Cosa sono i libri "deuterocanonici"?;Libri falsi;Libri del secondo canone;Libri profetici;Libri perduti;B;Sette testi inclusi nella versione dei Settanta (LXX) [11-14].
7;Qual è il materiale ricavato dalla pelle di animali?;Papiro;Ostraca;Pergamena;Carta;C;Più resistente del papiro, ma molto costoso: servivano 50-60 pecore per un codice [15-17].
8;Dove sono stati trovati i manoscritti più antichi nel 1947?;Roma;Alessandria;Qumran;Gerusalemme;C;Hanno permesso di risalire al II sec. a.C. [18].
9;In quale lingua è scritto quasi tutto il Nuovo Testamento?;Ebraico;Aramaico;Greco (Koinè);Latino;C;La lingua comune parlata nel Mediterraneo [9, 19, 20].
10;Chi tradusse la Bibbia in latino (Vulgata)?;S. Agostino;S. Girolamo;S. Ambrogio;Papa Damaso;B;Tradusse dall'ebraico nel IV sec. d.C. [21-23].
11;Qual è il significato di "Diathèke"?;Morte;Patto o Alleanza;Eredità;Libro;B;Indica il legame di fedeltà tra Dio e l'uomo [24-26].
12;Cosa significa "Apòkryphos"?;Eretico;Falso;Tenere segreto;Perduto;C;Libri non riconosciuti nel canone dalla Chiesa [11, 27].
13;Chi sono i "Masoreti"?;Soldati;Saggi che aggiunsero le vocali al testo;Traduttori greci;Scribi di Qumran;B;Operarono tra il VII e X sec. d.C. per fissare la pronuncia [28-30].
14;Cosa si intende per "Inerranza" (Dei Verbum)?;Assenza di errori storici;Verità salvifica senza errore;Perfezione linguistica;Verità scientifica;B;Garantisce la verità che Dio ha voluto per la nostra salvezza [12, 31, 32].
15;Qual è il porto fenicio legato al nome "Bibbia"?;Tiro;Sidone;Gebal (Biblo);Gaza;C;Era il centro commerciale del papiro (40 km a nord di Beirut) [19, 33, 34].
16;Cosa significa il nome "Adam"?;Primo uomo;Umanità / fatto di terra;Amico di Dio;Re;B;Nome collettivo derivante da adamah (terra) [18, 35, 36].
17;Cosa rappresenta l'arcobaleno dopo il Diluvio?;La pioggia;Segno dell'alleanza con Noè;Un miracolo fisico;La fine del freddo;B;Sigillo dell'alleanza perenne con ogni carne [15, 32, 37].
18;In quale città Dio confuse le lingue?;Ninive;Babele;Gerico;Sodoma;B;Interpretata popolarmente come "confusione" [38, 39].
19;Quanti anni aveva Abramo quando lasciò Carran?;50;75;100;120;B;Partì come ordinato dal Signore [40, 41].
20;Qual è il segno dell'alleanza dato ad Abramo?;Il sabato;La circoncisione;Il sacrificio;L'incenso;B;Comandata come segno perenne nella carne [42-44].
21;Cosa significa il nome "Israele"?;Dio è re;Uomo che contende con Dio;Terra promessa;Figlio di Isacco;B;Deriva da ish (uomo), sarah (contende) ed El (Dio) [45-47].
22;Quale figlio di Giacobbe fu venduto per l'Egitto?;Giuda;Ruben;Giuseppe;Beniamino;C;Venduto dai fratelli ai mercanti [1, 48, 49].
23;Qual è il significato di "Esodo"?;Conquista;Uscita;Leggi;Deserto;B;Dal greco éxodos, narra l'uscita dalla schiavitù [13, 50, 51].
24;Dove apparve Dio a Mosè nel roveto ardente?;Sinai;Monte Oreb;Egitto;Madian;B;Dio rivelò qui il Suo nome "Io sono colui che sono" [29, 52, 53].
25;Qual è la decima piaga d'Egitto?;Locuste;Tenebre;Morte dei primogeniti;Grandine;C;Colpì ogni primogenito egiziano [21, 54, 55].
26;In quale mare annegarono gli Egiziani?;Mar Morto;Mediterraneo;Mar Rosso;Nilo;C;Le acque si divisero davanti agli Ebrei [9, 56, 57].
27;Per quanto tempo Israele mangiò la manna?;7 anni;12 anni;40 anni;70 anni;C;Sino al loro arrivo nella terra di Canaan [58-60].
